chr1	0	12447821	203509	6163179	4028901	255782	5034885
chr1	12447821	24895642	100000	5878447	4174964	189162	6262883
chr1	24895642	37343463	1602	5836320	4103583	182090	6687536
chr1	37343463	49791284	0	5553627	4410734	151595	6844291
chr1	49791284	62239105	0	5201735	2417683	153685	6638154
chr1	62239105	74686926	0	4726580	1936118	159117	6361703
chr1	74686926	87134747	0	4663124	1722472	151928	6134943
chr1	87134747	99582568	0	4814061	1699444	143238	6275548
chr1	99582568	112030389	0	4781330	1996319	178483	6447897
chr1	112030389	124478210	55507	5056084	1883490	3218787	4945108
chr1	124478210	136926031	11746234	276410	.	2545674	48856
chr1	136926031	149373852	6258556	2593502	1616205	129465	2825077
chr1	149373852	161821673	0	5514805	5763817	156215	6282608
chr1	161821673	174269494	0	4940981	2237831	146756	6476093
chr1	174269494	186717315	0	5028601	2541293	141601	6202145
chr1	186717315	199165136	0	4365525	862937	199194	6229811
chr1	199165136	211612957	0	5454808	4008941	171827	5740001
chr1	211612957	224060778	50000	4923371	1899049	160308	5893280
chr1	224060778	236508599	50000	5390526	3898700	202608	6221255
chr1	236508599	248956422	10002	5003555	2178289	176246	6161794
